reg,domanda,risposta
ASS,Durante il periodo di sospensione disciplinare l’Associato non è tenuto al versamento delle quote associative,FALSO
ASS,E’ eleggibile alla carica di Presidente di Sezione l’Associato che abbia almeno ventotto anni di età anagrafica,VERO
ASS,E’ eleggibile alla carica di Presidente Nazionale dell’AIA l’Associato che abbia la qualifica di Arbitro Benemerito,VERO
ASS,Gli «Arbitri Benemeriti» sono proclamati dal Comitato Nazionale fra quegli Associati che hanno almeno 40 anni di anzianità arbitrale,FALSO
ASS,"Gli Arbitri devono rispettare il regolamento associativo ed ogni norma emanata dalla FIGC, statuto compreso",VERO
ASS,Gli Arbitri possono dirigere gare non autorizzate dalla FIGC solo se si tratta di incontri per beneficenza,FALSO
ASS,Gli Arbitri sono obbligati a comunicare il proprio cambio di residenza solo se si trasferiscono in altra Sezione o Regione,FALSO
ASS,Gli Associati AIA sono sottoposti alla potestà disciplinare degli Organi della giustizia sportiva della FIGC per le violazioni delle norme federali,VERO
ASS,"Gli Osservatori, anche quando svolgono la funzione di “Tutor”, devono attribuire il voto alla prestazione arbitrale",FALSO
ASS,I Componenti del Settore Tecnico sono obbligatoriamente esonerati dallo svolgere attività tecnica fino alla scadenza del loro mandato,FALSO
ASS,I Delegati degli Ufficiali di gara che rappresentano l’AIA nelle Assemblee della FIGC sono eletti dall’Assemblea Generale,VERO
ASS,Il “Comitato dei Garanti” fa parte degli Organi Direttivi Centrali,VERO
ASS,Il Collegio dei Revisori sezionali è un organo di controllo dell’attività amministrativa e contabile,VERO
ASS,Il Collegio dei Revisori sezionali esercita il controllo di legittimità e di merito sulle entrate e sugli impieghi della Sezione,VERO
ASS,Il Comitato Nazionale potrà revocare la qualifica di Arbitro Benemerito in caso di sanzione disciplinare superiore ai dodici mesi,VERO
ASS,Il Comitato Nazionale provvede all’istituzione di nuove Sezioni ma non alla loro soppressione o accorpamento,FALSO
ASS,Il CRA o il CPA approva il bilancio di previsione delle Sezioni della propria regione,VERO
ASS,Il Consiglio Direttivo Sezionale dura in carica quattro stagioni sportive,FALSO
ASS,Il numero dei Consiglieri dei CDS varia a seconda della forza sezionale ed è stabilito dal Comitato Nazionale all'inizio di ogni stagione sportiva,FALSO
ASS,Il Presidente del CRA/CPA deve essere scelto fra gli Arbitri Benemeriti della regione di appartenenza,FALSO
ASS,Il Presidente di Sezione è eletto dall’Assemblea elettiva e dura in carica per il quadriennio olimpico di riferimento,VERO
ASS,Il Presidente di Sezione può provvedere all’eventuale motivata revoca e sostituzione di un Componente del Consiglio Sezionale,VERO
ASS,"Il Presidente nazionale rappresenta l’AIA nei rapporti con la FIGC e con tutte le sue componenti interne, nonché nei confronti dei terzi",VERO
ASS,L’Assemblea Generale dell’AIA viene convocata dal Presidente dell’AIA ogni quadriennio olimpico,VERO
ASS,"L’Assemblea sezionale ordinaria, di norma, si celebra ogni quadriennio olimpico",FALSO
ASS,L’Associato in congedo deve versare le quote associative e depositare la tessera federale presso la segreteria della Sezione di appartenenza,FALSO
ASS,"La sospensione disciplinare comporta il divieto di svolgere attività tecnica, associativa e di esercitare la carica eventualmente ricoperta",VERO
ASS,La Consulta regionale si riunisce almeno 3 volte nel corso della stagione sportiva,VERO
ASS,"La nomina degli Arbitri, Assistenti e Osservatori internazionali è di competenza del Presidente AIA",FALSO
ASS,Le cariche di Consigliere sezionale e di Componente del Collegio dei Revisori sezionali sono incompatibili tra di loro,VERO
ASS,Le Assemblee sezionali elettive sono indette dal Presidente dell’AIA e si svolgono in via ordinaria ogni quadriennio olimpico,VERO
ASS,"Le cariche elettive, ad eccezione di quelle dei Delegati sezionali, durano un quadriennio",VERO
ASS,Le Commissioni di Disciplina di primo grado regionali sono competenti a giudicare i Componenti del Consiglio Direttivo Sezionale,FALSO
ASS,Le riunioni del CRA o del CPA devono tenersi almeno ogni due mesi e devono essere verbalizzate,VERO
ASS,Nelle assemblee sezionali ordinarie ogni Associato presente con diritto di voto può essere portatore di una sola delega scritta,VERO
ASS,Per tutti i Componenti del Servizio Ispettivo Nazionale vige l'incompatibilità con lo svolgimento dell'attività tecnica,VERO
NFOT,Gli Arbitri e gli Assistenti a disposizione degli OTN che non superano i test sono considerati non idonei atleticamente a svolgere attività arbitrale e proposti per la dismissione dai ruoli di appartenenza al termine della stagione sportiva,VERO
NFOT,"Gli AE, AA, e OA non possono essere impiegati, confermati ovvero proposti nei ruoli a disposizione degli Organi Tecnici Nazionali e Regionali se colpiti da DASPO",VERO
NFOT,"Gli  AE,  gli  AA,  e  gli  OA  cui  siano  stati  comminati  provvedimenti  disciplinari  comportanti  la  sospensione,  non  possono  essere  proposti  per  il passaggio di categoria nella stagione sportiva di adozione del provvedimento",VERO
NFOT,Gli AE  che  sono stati a  disposizione  della  CAN  A per meno di cinque  stagioni e  che  hanno superato gli esami di qualificazione  per OA possono presentare domanda per operare come OA per la CAN PRO,VERO
NFOT,Gli OA devono essere impiegati con turni regolari e assicurare almeno otto visionature per ogni intera stagione sportiva. Per gli OA a disposizione dell’OTS l’attività di TUTOR non è considerata in tale numero,FALSO
NFOT,"Gli OA devono essere impiegati con turni regolari e, salvo deroga del Comitato Nazionale, assicurare almeno otto visionature per ogni intera stagione sportiva, esclusa l'attività di Tutor",FALSO
NFOT,"Gli OT che operano nei campionati professionistici e la CAN 5 (limitatamente alle gare di Serie A), hanno la facoltà di utilizzare, per modificare il voto dell’OA, mezzi che offrono piene garanzie tecniche e documentali",VERO
NFOT,I  periodi  di  congedo  per  maternità  o  per  grave  infortunio  e/o  malattia  di  durata  superiore  a  mesi  nove  non  sono  computati  ai  fini  dell’anzianità maturata nel ruolo di appartenenza,VERO
NFOT,"I Presidenti di Sezione, del CRA e del CPA dovranno adottare la proposta di N.R.T. al termine della stagione sportiva per gli OA che non superino o non partecipino al corso di aggiornamento",VERO
NFOT,"I rilievi di carattere tecnico ad Associati della CAN A e della CAN B devono essere comunicati per iscritto agli interessati, ovvero tramite il portale informatico AIA, con copia inviata al Presidente dell’AIA",VERO
NFOT,I voti assegnati dagli OA e dall’OT ad Arbitri e Assistenti della CAN B impiegati in gare del Campionato di Serie A non concorrono a determinare la media dei voti assegnati,VERO
NFOT,"Il Comitato Nazionale, d’intesa con il Settore Tecnico, può predisporre modalità attuative per la trasmissione integrale delle relazioni degli Osservatori arbitrali ad AE e AA",VERO
NFOT,"Il CRA / CPA dovrà far pervenire agli Associati e per conoscenza ai Presidenti di Sezione le medie di A.E, AA e OA a sua disposizione almeno due volte nel corso della stagione sportiva",FALSO
NFOT,"Il voto assegnato dall’OA potrà essere modificato dall’OT solo a seguito di evidenti contraddizioni e/o incongruenze tra la stesura della relazione e la valutazione numerica, e comunque non potrà essere superiore o inferiore di 0,20 rispetto al voto dell’OA",VERO
NFOT,"La  CAN  D  avvicenderà  dall’attività  quegli  AA  i  quali,  dopo  una  permanenza,  di  tre  stagioni  sportive  effettive  nel  ruolo,  non  abbiano  meritato  il passaggio alla CAN PRO",VERO
NFOT,"La posizione nella graduatoria finale non determina automaticamente le proposte di promozione e avvicendamento, ma la stessa ha valore indicativo per un elenco che ogni OT dovrà predisporre",VERO
NFOT,Possono essere proposti alla CAI gli Arbitri che siano rimasti almeno tre stagioni sportive a disposizione dell’OTR ed abbiano diretto almeno 15 gare della massima categoria regionale,VERO
NFOT,Possono essere  proposti per il ruolo CAN D gli Arbitri che  sono stati visionati nell’ultima stagione sportiva  da  OA per un minimo di 7  volte  e  da Componenti l’Organo Tecnico per almeno 2 volte,VERO
NFOT,Possono  richiedere  di  svolgere  l’attività  di  OA  alla  CAI  coloro  i  quali  abbiano  svolto  qualificata  attività  per  almeno  tre  stagioni  sportive  quali Componenti dell’OTR,FALSO
NFOT,Gli Arbitri avvicendati dagli OTN potranno continuare ad operare come AE a disposizione dell’OTR,VERO
NFOT,"Gli OTN provvedono, altresì, all’impiego degli Arbitri con le funzioni di Quarto ufficiale di gara, con le modalità disposte dal Comitato Nazionale",VERO
NFOT,"Gli OTP sono il Comitato Regionale Arbitri, il Comitato delle Province Autonome di Trento e di Bolzano e l'Organo Tecnico Sezionale",VERO
NFOT,Gli OT possono sospendere dalle designazioni gli AE/AA/OA a loro disposizione sino ad un tempo massimo di sei mesi,FALSO
NFOT,I Responsabili ed i Componenti della CAN B e della CAN D non possono permanere nella medesima funzione per più di quattro stagioni sportive,VERO
NFOT,"Il prosieguo dell’attività di Arbitro effettivo, a disposizione dell’OTS, è consentito sino al 45° anno di età",VERO
NFOT,Il prosieguo dell’attività è consentito in base all’efficienza fisica ed alle capacità tecniche dell’Arbitro e dell’Assistente di CAN B purché questi non abbia ancora compiuto al termine della stagione sportiva in corso 42 anni,VERO
NFOT,In Sezione deve essere custodito un fascicolo personale per tutti gli Associati della stessa anche per quelli a disposizione degli OTN,VERO
NFOT,L’inquadramento degli AA a disposizione della CAN D avviene tra coloro che non abbiano compiuto i 30 anni alla data del 30 giugno,FALSO
NFOT,L’organico dell’OTS è formato dagli Arbitri non inseriti nei ruoli degli Organi Tecnici Nazionali e Regionali,VERO
NFOT,La CAI farà pervenire agli OA a sua disposizione le medie almeno tre volte nel corso della stagione sportiva,VERO
NFOT,La permanenza degli OA nel ruolo della CAN D non può essere superiore a quattro stagioni sportive,FALSO
NFOT,Possono essere proposti per il passaggio alla CAN B gli Arbitri effettivi che non abbiano compiuto il 35 anno di età alla data del 30 giugno,VERO
R01,Di norma le Società di Eccellenza sono obbligate a provvedere allo sgombero della neve fino a 48 ore prima dell’orario ufficiale previsto per l’inizio della gara,FALSO
R01,"Il giudizio sulla impraticabilità del terreno di gioco, per intemperie o per ogni altra causa, compete all’Arbitro designato a dirigere la gara, in accordo con i capitani delle due squadre",FALSO
R01,"In  caso  di  insufficiente  visibilità  causa  nebbia,  l’Arbitro  deve  essere  in  grado  di  vedere,  da  una  porta,  la  totalità  del  terreno  di  gioco,  compresa naturalmente la porta opposta",VERO
R01,L’Arbitro  può  procedere  all’accertamento  dell’impraticabilità  del  terreno  di  gioco  prima  dell’ora  fissata  per  l’inizio  della  gara  ove  siano  presenti  i capitani delle squadre,VERO
R01,"La pubblicità verticale dovrà essere collocata almeno: a 1 m dalla linea di porta, a 1 m dalla rete della porta, a 1 m dalle linee laterali del terreno di gioco",FALSO
R01,"Le  reti della  porta  devono essere  applicate  in modo che  siano distanti, nella  parte  superiore, almeno 50  cm dalla  traversa e, nella  parte  inferiore, almeno 1,50 metri dalla linea di porta",VERO
R01,"Le società della LEGA PRO devono installare ai bordi del terreno di gioco, alla distanza di mt. 2,50 dalle linee laterali, due panchine sulle quali sono tenute a prendere posto le persone ammesse nel recinto di gioco",VERO
R01,"Qualora  l’impraticabilità  del  terreno  di  gioco  fosse  ritenuta  irrimediabile  entro  l’ora  fissata  per  l’inizio  della  gara,  l’Arbitro  può  prescindere dall’identificazione di tutti i calciatori, ad eccezione dei due capitani",VERO
R01,"A ciascun angolo del “terreno di gioco” deve essere fissata una bandierina con asta non appuntita e con una altezza massima di m. 1,50",FALSO
R01,E' possibile che la larghezza delle linee del terreno di gioco e di entrambi i pali e la traversa delle porte sia inferiore a 12 cm,VERO
R01,I sistemi tecnologici per verificare se una rete è stata segnata (GLT) possono essere utilizzati solo nei massimi campionati nazionali,FALSO
R01,L’altezza della porta si misura partendo dal suolo fino al bordo superiore della traversa,FALSO
R01,"L’area tecnica si estende lateralmente un metro per parte oltre le panchine e, in avanti, fino ad un metro e mezzo dalla linea laterale",FALSO
R01,"L’asta della bandierina d’angolo deve avere una altezza minima di 1,50 m e deve essere appuntita",FALSO
R01,"L'indicazione della segnatura di una rete è comunicata dal sistema GLT solo all'Arbitro, attraverso l'apposito orologio",VERO
R01,La nebbia è una causa di immediata sospensione definitiva della gara,FALSO
R01,"La distanza che separa i due pali della porta è di m. 7,32 ed il bordo inferiore della traversa è situato a m. 2,44 dal suolo",VERO
R01,La riproduzione reale o virtuale di loghi o emblemi delle Leghe è vietata sul terreno di gioco e sulle reti delle porte,VERO
R01,Le linee che delimitano i lati più lunghi del terreno sono denominate “linee laterali”; quelle che delimitano i lati più corti “linee di fondo”,FALSO
R01,Le misure della porta prevedono una tolleranza di 2 centimetri in più o in meno,VERO
R01,Per i campionati di Eccellenza le misure minime del terreno di gioco sono mt 100 x 60 con una tolleranza non superiore al 4%,VERO
R01,Si definisce «terreno di gioco» il rettangolo entro il quale si svolge effettivamente il gioco compreso il campo per destinazione,FALSO
R01,Una gara iniziata con luce naturale non può essere conclusa con l’accensione dell’illuminazione artificiale,FALSO
R02,Durante  una  gara  l’Arbitro  si  accorge  che  mancano  i  palloni  di  riserva  prescritti.  La  gara  viene  comunque  portata  a  termine  e  l’accaduto  viene riportato nel rapporto di gara,VERO
R02,"Il pallone scoppia, durante l’esecuzione di un tiro di rigore, appena è stato calciato in avanti e prima che venga toccato da un altro calciatore o dai pali della porta. L’Arbitro dovrà far ripetere il tiro di rigore",VERO
R02,"Quando una gara è giocata in “campo neutro” per la squalifica del campo di una Società, i palloni devono essere forniti dalla Società prima nominata",VERO
R02,"Se il pallone scoppia o diviene difettoso quando non è in gioco, durante l’esecuzione di un calcio d’inizio, di un calcio di rinvio, di un calcio d’angolo la gara riprenderà con l’effettuazione della relativa ripresa di gioco",VERO
R02,Di norma il pallone può essere sostituito durante la gara senza l'autorizzazione dell'Arbitro,FALSO
R02,Di norma ogni squadra prima della gara consegnerà all’Arbitro tre palloni efficienti e lui provvederà a scegliere quello con cui iniziare la gara,FALSO
R02,Il “Multiple Ball Supply System” obbliga la Società ospitante a mettere a disposizione almeno 12 palloni regolamentari,VERO
R02,Il pallone deve avere un peso massimo di 450 gr e minimo di 410 gr all’inizio della gara,VERO
R02,Il pallone deve avere una circonferenza massima di 70 cm e minima di 68 cm con una tolleranza di ± 2,FALSO
R02,"Il pallone deve essere: di forma sferica, fatto di materiale approvato, di circonferenza massima di cm 70 e minima di cm 68",VERO
R02,"Il pallone non è in gioco quando ha interamente superato una linea di porta o una linea laterale, sia a terra sia in aria",VERO
R02,"Le alterazioni al peso del pallone dovute alle condizioni del terreno di gioco non possono, di norma, dare luogo alla sostituzione del pallone",VERO
R02,"Per poter iniziare una gara occorrono almeno tre palloni, controllati dall’Arbitro prima dell’inizio della gara",FALSO
R02,"Una gara non potrà avere inizio in mancanza di almeno due palloni, controllati dall’Arbitro prima dell’inizio della gara stessa",FALSO
R03,All’inizio della gara un calciatore di riserva (A) prende il posto di un titolare designato e l’Arbitro non viene informato di questo cambio. L’Arbitro consente ad (A) di proseguire la gara senza adottare sanzioni disciplinari,VERO
R03,Ciascun  calciatore  partecipante  al  gioco  può  scambiare  il  ruolo  con  il  portiere  a  condizione  che  l'Arbitro  ne  sia  informato  prima  dello  scambio e questo avvenga durante un'interruzione di gioco,VERO
R03,"Gli elenchi nominativi dei calciatori componenti le squadre, che devono essere presentati all’Arbitro prima dell’inizio della gara, non possono essere integrati dopo che la gara è iniziata per l’eventuale arrivo di calciatori titolari ritardatari",FALSO
R03,"I calciatori di riserva ritardatari, se non iscritti in elenco, possono prendere parte al gioco in qualsiasi momento della gara, previo riconoscimento da parte dell’Arbitro",FALSO
R03,I calciatori titolari inibiti a prendere parte al gioco prima che la gara abbia inizio possono essere rimpiazzati soltanto da calciatori di riserva iscritti nell’elenco consegnato all’Arbitro,VERO
R03,"L’Arbitro  può  identificare  i  calciatori  esclusivamente  mediante  un  documento  di  riconoscimento  ufficiale  rilasciato  dalle  Autorità  competenti  e mediante apposite tessere eventualmente rilasciate dalle Leghe, dal SGS e dai Comitati",FALSO
R03,"L’Arbitro si accorge, prima che il gioco riprenda, che c’era una persona estranea sul terreno di gioco nel momento in cui una rete è stata segnata. Di norma, l’Arbitro convaliderà la rete se la persona estranea non ha interferito con il gioco",VERO
R03,"Pochi istanti prima dell'inizio della gara, il capitano di una squadra chiede che si attenda l'arrivo del proprio allenatore. La richiesta non può essere accolta",FALSO
R03,"Un calciatore di riserva che sia stato espulso prima del calcio d’inizio della gara (inibizione a prendere parte alla gara) o dopo che la gara è iniziata, non potrà essere rimpiazzato",VERO
R03,"Un calciatore  di riserva che  sta sostituendo un calciatore titolare  già  uscito dal terreno di gioco, può riprendere  il gioco senza  essere  entrato sul terreno di gioco, direttamente eseguendo una rimessa laterale o un calcio d’angolo",FALSO
R03,Una  sostituzione  si  intende  effettuata  sempre  e  solo  nel  momento  in  cui  l’Arbitro  dà  la  propria  autorizzazione  ed  il  calciatore  sostituito  esce  dal terreno di gioco,FALSO
R03,Una squadra con solo sette calciatori subisce un calcio di rigore e un suo calciatore viene espulso lasciando la squadra in sei calciatori. L'Arbitro sospende immediatamente la gara,VERO
R03,"I calciatori ( titolari ) ritardatari, anche se non preventivamente iscritti in elenco, possono prendere parte al gioco in qualsiasi momento della gara",VERO
R03,Il calciatore sostituito non è obbligato a lasciare il terreno di gioco all’altezza della linea mediana,VERO
R03,La “conoscenza personale” dell’Arbitro di un qualsiasi tesserato vale come metodo di identificazione per essere ammessi nel recinto di gioco,FALSO
R03,La sostituzione di un calciatore con uno di riserva si concretizza nel momento in cui il sostituito esce dal terreno di gioco,FALSO
R03,"Normalmente, il tempo di attesa per le squadre, è pari alla durata di un tempo, a partire dall’ora d’inizio ufficiale della gara",VERO
R03,"Se una persona estranea entra sul terreno di gioco, l’Arbitro interromperà sempre immediatamente il gioco",FALSO
R03,Un calciatore di riserva o sostituito che si rende colpevole di condotta violenta non può essere espulso ma soltanto allontanato,FALSO
R03,Un calciatore sostituito deve uscire dal terreno di gioco nei pressi della linea mediana,FALSO
R04,"Di norma, per le gare organizzate dalla LEGA PRO, le Società ospitate hanno l’obbligo di sostituire la loro divisa nel caso in cui si confondano con quelle degli avversari",VERO
R04,"Gli  equipaggiamenti  protettivi  moderni,  come  caschi,  maschere  facciali,  ginocchiere  e  protettori  del  braccio,  fatti  di  materiale  soffice,  leggero, imbottito, non sono da considerarsi pericolosi e sono perciò ammessi",VERO
R04,"Il  nastro  adesivo,  eventualmente  applicato  all’esterno  dei  calzettoni,  deve  essere  dello  stesso  colore  di  quella  parte  dei  calzettoni  su  cui  viene applicato",VERO
R04,L’Arbitro deve ammonire un calciatore che si rifiuta di togliere dei gioielli o un indumento non consentito,VERO
R04,"Per  le  società  appartenenti  alla  Lega  Pro,  i  calciatori  devono  indossare  per  tutta  la  durata  di  una  stagione  sportiva  maglie  recanti  sul  dorso  la seguente numerazione progressiva: n. 1 il portiere; dal numero 2 al numero 11 i calciatori degli altri ruoli; dal numero 12 in poi i calciatori di riserva",FALSO
R04,Qualora i calciatori indossino dei copricapo questi possono essere neri o comunque dello stesso colore predominante della maglia e non possono essere di colori differenti per i calciatori della stessa squadra,VERO
R04,"Se l'equipaggiamento di un calciatore, ispezionato prima della gara e considerato non pericoloso, fosse usato in maniera pericolosa, il suo uso non dovrà più essere consentito dall’Arbitro durante la gara stessa",VERO
R04,"Un calciatore indossa un secondo paio di calzettoni, anche più corti, di sotto visibili. Questi non devono essere di un colore diverso rispetto a quello principale dei calzettoni",VERO
R04,"Di norma, durante la gara un calciatore, ad eccezione del portiere, non può cambiare la propria maglia con quella di un compagno",VERO
R04,I parastinchi devono: essere coperti completamente dai calzettoni; essere di materiale idoneo; offrire un grado di protezione adeguato,VERO
R04,I portieri possono indossare pantaloni di tuta come parte del loro equipaggiamento,VERO
R04,"L’equipaggiamento obbligatorio di un calciatore è composto da: maglia con maniche, calzoncini, calzettoni, parastinchi e scarpe",VERO
R04,L’uso di sistemi elettronici di comunicazione tra i calciatori e/o lo staff tecnico non è consentito,VERO
R04,La mancanza dei numeri sulle maglie dei calciatori può provocarne l'inibizione a partecipare alla gara,FALSO
R04,"Se le maglie dei due portieri dovessero essere dello stesso colore e nessuno di loro avesse un’altra maglia, l’Arbitro non darà inizio alla gara",FALSO
R04,"Se un calciatore perde accidentalmente una scarpa e subito dopo segna una rete, la rete segnata non può essere convalidata",FALSO
R05,A seguito di uno scontro tra il portiere e un attaccante avversario si è reso necessario l’intervento dei sanitari: l’attaccante in questione dovrà uscire dal terreno di gioco e attendere che l’Arbitro gli dia l’autorizzazione a rientrare,FALSO
R05,"Dopo aver interrotto il gioco per allontanare un dirigente colpevole di un comportamento non corretto nel campo per destinazione, l’Arbitro dovrà riprendere il gioco con una propria rimessa",VERO
R05,"Gli ufficiali di gara possono comunicare a calciatori, dirigenti o altre persone il tempo trascorso o mancante alla fine della gara, purché la richiesta avvenga a gioco fermo",FALSO
R05,"I dirigenti federali che siano anche dirigenti di Società non possono, in ogni caso, svolgere funzioni di accompagnatore ufficiale o di dirigente addetto all’Arbitro",VERO
R05,"Il  dirigente  accompagnatore  ufficiale,  seduto  in  panchina,  fuma  durante  la  gara.  Alla  prima  interruzione  del  gioco,  l'Arbitro  lo  invita  a  smettere  di fumare. Dopo qualche minuto si rende conto che il suo invito è stato vano e correttamente lo allontana dal terreno di gioco",FALSO
R05,"In caso di infrazione  contemporanea  dello stesso tipo di fallo di due  calciatori avversari, l'Arbitro concederà un calcio di punizione  a  favore della squadra difendente",FALSO
R05,L’Arbitro deve considerare le seguenti circostanze nel decidere se applicare il vantaggio o interrompere il gioco: - la gravità dell’infrazione - il risultato della gara - la zona del terreno di gioco dove viene commessa l’infrazione,FALSO
R05,L’Arbitro può cambiare una sua decisione soltanto se si rende conto del proprio errore sempre che il gioco non sia stato ripreso o il periodo di gioco non sia stata terminato ed abbia lasciato il terreno di gioco,VERO
R05,"L’Arbitro durante l'intervallo, nel proprio spogliatoio, si rende conto di avere assunto una decisione errata. Prima dell'inizio del secondo tempo potrà modificarla poiché il gioco non è ancora stato ripreso",FALSO
R05,L’uso del fischietto è necessario per riprendere il gioco sui calci di punizione (quando è richiesta la verifica della distanza regolamentare) e sui calci di rigore,VERO
R05,"L’uso  del  fischietto  è  obbligatorio  per  riprendere  il  gioco  sui  calci  di  punizione,  quando  è  richiesta  la  verifica  della  distanza  regolamentare  e  in occasione della segnatura di una rete",FALSO
R05,"Nel rapporto di gara deve essere contenuto anche il nominativo del calciatore che ha provocato, anche se involontariamente, l'infortunio di un altro calciatore",VERO
R05,"Nel  recinto  di  gioco  sono  ammessi  i  medici  sociali  di  entrambe  le  squadre.  Qualora  uno  di  questi  venga  allontanato,  è  tenuto  a  rimanere  a disposizione negli spogliatoi",VERO
R05,"Quando due calciatori commettono contemporaneamente due infrazioni, l'Arbitro punisce quella più grave in termini di provvedimento disciplinare, ripresa del gioco, gravità fisica ed impatto tattico",VERO
R05,"Quando  non  è  presente  un  dirigente  della  società  ospitante  incaricato  dell'assistenza  all'Arbitro,  tale  incarico  può  essere  conferito  al  dirigente accompagnatore ufficiale della stessa",VERO
R05,"Se due calciatori della medesima squadra si scontrano, l’Arbitro dopo aver interrotto il gioco e averli fatti soccorrere, non deve farli uscire dal terreno di gioco",VERO
